date,revenue
2026-03-29,7158.5
2026-03-30,9945.73
2026-03-31,9985.34
2026-04-01,10327.06
2026-04-02,10008.66
2026-04-03,9471.57
2026-04-04,7361.37
2026-04-05,7197.8
2026-04-06,10032.18
2026-04-07,10181.98
2026-04-08,10244.31
2026-04-09,10638.1
2026-04-10,10447.38
2026-04-11,7372.85
2026-04-12,7134.1
2026-04-13,9810.0
2026-04-14,10340.9
2026-04-15,10792.81
2026-04-16,10287.11
2026-04-17,10241.26
2026-04-18,7573.75
2026-04-19,6994.99
2026-04-20,10200.97
2026-04-21,10547.91
2026-04-22,10721.94
2026-04-23,10275.14
2026-04-24,10546.51
2026-04-25,7565.98
2026-04-26,7737.17
2026-04-27,9970.34
2026-04-28,10687.53
2026-04-29,9831.02
2026-04-30,9381.72
2026-05-01,10240.23
2026-05-02,7290.0
2026-05-03,7843.54
2026-05-04,10820.05
2026-05-05,10040.31
2026-05-06,10928.26
2026-05-07,10160.67
2026-05-08,10563.43
2026-05-09,7552.95
2026-05-10,7688.63
2026-05-11,10993.58
2026-05-12,10932.22
2026-05-13,20566.36
2026-05-14,10967.92
2026-05-15,10909.89
2026-05-16,7524.83
2026-05-17,7507.41
2026-05-18,10547.91
2026-05-19,10980.01
2026-05-20,10672.15
2026-05-21,11803.58
2026-05-22,10455.74
2026-05-23,7451.41
2026-05-24,8044.71
2026-05-25,11472.37
2026-05-26,11089.88
2026-05-27,11248.91
2026-05-28,11521.89
2026-05-29,10873.95
2026-05-30,7421.68
2026-05-31,7712.68
2026-06-01,11377.75
2026-06-02,10341.23
2026-06-03,11004.74
2026-06-04,11116.48
2026-06-05,10880.89
2026-06-06,8175.18
2026-06-07,8140.83
2026-06-08,12092.46
2026-06-09,11354.77
2026-06-10,10824.55
2026-06-11,10860.34
2026-06-12,10754.95
2026-06-13,8326.32
2026-06-14,7849.5
2026-06-15,11138.61
2026-06-16,11520.24
2026-06-17,10875.89
2026-06-18,11083.27
2026-06-19,10402.89
2026-06-20,7745.83
2026-06-21,7923.09
2026-06-22,11462.51
2026-06-23,11828.98
2026-06-24,11296.65
2026-06-25,11438.35
2026-06-26,11411.16
2026-06-27,2984.3
2026-06-28,8475.21
2026-06-29,11504.59
2026-06-30,10934.21
2026-07-01,11822.31
2026-07-02,11599.14
2026-07-03,12001.45
2026-07-04,8237.73
2026-07-05,8903.58
2026-07-06,11320.13
2026-07-07,12232.81
2026-07-08,11568.02
2026-07-09,11291.9
2026-07-10,11023.88
2026-07-11,8272.92
2026-07-12,8808.48
2026-07-13,11968.47
2026-07-14,11924.78
2026-07-15,10515.69
2026-07-16,11965.88
2026-07-17,11909.03
2026-07-18,8214.05
2026-07-19,8198.56
2026-07-20,11693.92
2026-07-21,12517.93
2026-07-22,11230.16
2026-07-23,11539.1
2026-07-24,12395.31
2026-07-25,8323.17
2026-07-26,8361.57
2026-07-27,11846.15
2026-07-28,11228.37
2026-07-29,11934.08
2026-07-30,11271.88
2026-07-31,12279.94
2026-08-01,8551.09
2026-08-02,9342.72
2026-08-03,12038.74
2026-08-04,12571.16
2026-08-05,11312.82
2026-08-06,28539.88
2026-08-07,12119.66
2026-08-08,9227.92
2026-08-09,8055.72
2026-08-10,12485.89
2026-08-11,12309.44
2026-08-12,12778.56
2026-08-13,12398.51
2026-08-14,12095.14
2026-08-15,8519.64
2026-08-16,8277.03
2026-08-17,12209.7
2026-08-18,12036.99
2026-08-19,13126.45
2026-08-20,11862.8
2026-08-21,12331.03
2026-08-22,8225.97
2026-08-23,8648.59
2026-08-24,12347.65
2026-08-25,12638.25
2026-08-26,12959.57
2026-08-27,12243.34
2026-08-28,11731.21
2026-08-29,9014.52
2026-08-30,9046.49
2026-08-31,12567.39
2026-09-01,11994.34
2026-09-02,12915.12
2026-09-03,12413.49
2026-09-04,12731.69
2026-09-05,4691.5
2026-09-06,9156.65
2026-09-07,12572.46
2026-09-08,13516.66
2026-09-09,12581.46
2026-09-10,12327.31
2026-09-11,12545.94
2026-09-12,9537.61
2026-09-13,9057.2
2026-09-14,12795.42
2026-09-15,13150.26
2026-09-16,12307.24
2026-09-17,11711.19
2026-09-18,12745.85
2026-09-19,9162.63
2026-09-20,8868.93
2026-09-21,13080.42
2026-09-22,12962.55
2026-09-23,12165.74
2026-09-24,12947.94
